NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
DRP.TXPMARESET_TIME,9,0,11,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RX_PMA_POWER_SAVE,9,0,10,10,attr,rw,0,y,GTHE3_CHANNEL
DRP.TX_PMA_POWER_SAVE,9,0,9,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.TXPCSRESET_TIME,9,0,3,7,attr,rw,0,y,GTHE3_CHANNEL
DRP.A_TXDLYEN,9,0,2,2,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPHALIGNEN,9,0,1,1,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPHALIGN,9,0,0,0,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXDEEMPH,a,0,15,15,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXELECIDLE,a,0,13,13,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPOSTCURSORINV,a,0,12,12,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPRECURSORINV,a,0,11,11,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXMAINCURSOR,a,0,4,10,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXDIFFCTRL,a,0,0,3,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.WB_MODE,b,0,14,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.A_TXOUTCLKSEL,b,0,11,13,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPOLARITY,b,0,10,10,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.RXPMACLK_SEL,b,0,8,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPMARESET,b,0,7,7,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPD,b,0,5,6,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.TX_FABINT_USRCLK_FLOP,b,0,4,4,attr,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPCSRESET,b,0,3,3,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXMARGIN,b,0,0,2,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXSYSCLKSEL,c,0,14,15,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPLLCLKSEL,c,0,12,13,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.TX_PROGCLK_SEL,c,0,10,11,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXISCANRESET_TIME,c,0,5,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPRBSFORCEERR,c,0,4,4,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPRBSSEL,c,0,0,3,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AMONITOR_CFG,d,0,0,15,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.RXCDR_CFG0,e,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXCDR_CFG1,f,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXCDR_CFG2,10,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXCDR_CFG3,11,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXCDR_CFG4,12,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
