FGMEM_ID,HIDDEN,NAME,COMPATIBLE_DEVICES,MEM_DEVICE,MEM_TYPE,MEM_DENSITY,DATA_WIDTH,COMPATIBLE_RS_PINS,MEM_MANUFACTURER,MEM_INTERFACE_FILE,NUM_CFG_FILES,MEM_DEVICE_ALIAS,MEM_FAMILY
37,0,28f512p30b-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,28f512p30b,bpi,512,x16,"""24:13""",Micron,,1,,p30
38,0,28f00ap30t-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,28f00ap30t,bpi,1024,x16,"""25:13""",Micron,,1,,p30
39,0,28f00ap30e-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,28f00ap30e,bpi,1024,x16,"""25:13""",Micron,,1,,p30
40,0,28f00ap30b-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,28f00ap30b,bpi,1024,x16,"""25:13""",Micron,,1,,p30
41,0,28f00bp30e-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,28f00bp30e,bpi,2048,x16,"""26:13""",Micron,,1,,p30
42,0,28f640p33t-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115,28f640p33t,bpi,64,x16,"""21:13""",Micron,,1,,p33
43,0,28f640p33b-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115,28f640p33b,bpi,64,x16,"""21:13""",Micron,,1,,p33
44,0,28f128p33t-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115,28f128p33t,bpi,128,x16,"""22:13""",Micron,,1,,p33
45,0,28f128p33b-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115,28f128p33b,bpi,128,x16,"""22:13""",Micron,,1,,p33
48,0,28f256p33t-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115,28f256p33t,bpi,256,x16,"""23:13""",Micron,,1,,p33
