NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,CTL,STAT,CONST,SAMP_EN,RH,CPLX_LOCAL,GROUP
PORT.PMARSVDOUT,205,0,0,15,port,r,,y,0,1,0,0,0,0,GTHE2_COMMON
LOGIC.MGT_COORDINATE,300,0,0,15,logic,r,,y,0,0,1,0,0,0,GTHE2_COMMON
LOGIC.MGT_NUMBER,301,0,0,15,logic,r,,y,0,0,1,0,0,0,GTHE2_COMMON
LOGIC.TXCLKSEL,302,0,0,1,logic,rw,0,y,1,0,0,0,0,0,
LOGIC.RXCLKSEL,302,0,2,3,logic,rw,0,y,1,0,0,0,0,0,
LOGIC.TXCLKRESET,302,0,4,4,logic,rw,0,y,1,0,0,0,0,0,
LOGIC.RXCLKRESET,302,0,5,5,logic,rw,0,y,1,0,0,0,0,0,
LOGIC.DMONCLKSEL01,302,0,6,6,logic,rw,0,y,1,0,0,0,0,0,
LOGIC.DMONCLKSEL23,302,0,7,7,logic,rw,0,y,1,0,0,0,0,0,
LOGIC.TXCLKLOCKED,303,0,0,0,logic,r,,y,0,0,1,0,0,0,
LOGIC.RXCLKLOCKED,303,0,1,1,logic,r,,y,0,0,1,0,0,0,
LOGIC.DEVICE_FAMILY,344,0,0,15,status,r ,,y,0,1,1,0,0,0,
LOGIC.DEVICE_TYPE,345,0,0,15,status,r ,,y,0,1,1,0,0,0,
LOGIC.DEVICE_PACKAGE,346,0,0,15,status,r ,,y,0,1,1,0,0,0,
